VC Name,VC Location,Snippet,Short Description,Crunchbase URL,Investment 3 Funding Round Type,Investment 3 Round Type,Investment 3 Company Invested Into,Investment 3 Announcement Date,Investment 3 Value,Investment 3 Type,Investment 2 Funding Round Type,Investment 2 Round Type,Investment 2 Company Invested Into,Investment 2 Announcement Date,Investment 2 Value,Investment 2 Type,Investment 1 Funding Round Type,Investment 1 Round Type,Investment 1 Company Invested into,Investment 1 Announcement Date,Investment 1 Value,Investment 1 Type,Full Description,Normalize a Domain,Growth Score,Clearbit Logo URL
Fireroad Ventures,Cincinnati,"Fireroad Ventures focuses on seed to early-stage investments in software, AI, and EdTech industries, primarily in New York, Cincinnati, and Austin, ...",Fireroad Ventures - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/fireroad,Pre Seed Round - DifferentKind,funding_round,DifferentKind,2024-10-07,Fireroad Ventures investment in Pre Seed Round - DifferentKind,investment,Pre Seed Round - Flamel AI,funding_round,Flamel AI,2024-10-31,Fireroad Ventures investment in Pre Seed Round - Flamel AI,investment,Pre Seed Round - SMB,funding_round,SMB,2024-10-31,Fireroad Ventures investment in Pre Seed Round - SMB,investment,Fireroad is a full-stack investment firm that offers venture capital and growth investments to startups. The firm prefers to invest in the technology industry.,fireroad.io,77,https://logo.clearbit.com/fireroad.io
M33 Growth,Boston,M33 Growth is a venture and growth stage investment firm that seeks to partner with founders and CEOs to rapidly scale their companies.,M33 Growth - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/m33-growth,Venture Round - Clear Demand,funding_round,Clear Demand,2024-08-07,M33 Growth investment in Venture Round - Clear Demand,investment,Private Equity Round - Synergy,funding_round,Synergy,2024-11-14,M33 Growth investment in Private Equity Round - Synergy,investment,Venture Round - SwiftComply,funding_round,SwiftComply,2025-01-16,M33 Growth investment in Venture Round - SwiftComply,investment,"M33 Growth is named for Mach 33, the speed at which an object reaches escape velocity and breaks out of the gravitational pull of the Earth. Their name mirrors their approach: they partner with founders and CEOs and seek to help them rapidly scale their companies and succeed in their respective markets.

While many firms provide capital, M33 Growth brings differentiated hands-on experience to the CEOs and founders with whom they partner.",m33growth.com,42,https://logo.clearbit.com/m33growth.com
Twine Ventures,San Francisco,"Twine Ventures is an early-stage venture capital firm that focuses on human health, climate, and financial empowerment. San Francisco, California, United States ...",Twine Ventures - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/twine-ventures,Pre Seed Round - Airship,funding_round,Airship,2024-09-30,Twine Ventures investment in Pre Seed Round - Airship,investment,Pre Seed Round - Airship,funding_round,Airship,2024-09-30,Twine Ventures investment in Pre Seed Round - Airship,investment,Seed Round - Alchemy,funding_round,Alchemy,2024-10-15,Twine Ventures investment in Seed Round - Alchemy,investment,"Twine Ventures is an early-stage venture capital firm that focuses on human health, climate, and financial empowerment. The firm was founded by Leshika Samarasinghe in 2021 and is based in San Francisco, California, United States.",twineventures.com,79,https://logo.clearbit.com/twineventures.com
Sweater,Boulder,"Sweater is a fintech company building the first fully-managed venture capital fund that is open to everyday investors. Boulder, Colorado, United States · 11 ...",Sweater - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/sweater,Venture Round - Guest House,funding_round,Guest House,2023-06-27,Sweater investment in Venture Round - Guest House,investment,Seed Round - Hearth,funding_round,Hearth,2023-09-14,Sweater investment in Seed Round - Hearth,investment,Seed Round - EarlyBird,funding_round,EarlyBird,2023-11-01,Sweater investment in Seed Round - EarlyBird,investment,"Sweater is a fintech company building the first fully-managed venture capital fund that is open to everyday investors.
Our mobile-first experience allows you direct access to the world's most exclusive asset class—Venture Capital. Sweater’s mission is to empower everyone to become investors in the next generation of venture-backed startups.

Every founder should be able to build their vision, and every person should be able to take part in the founder journeys that create the next generation of influence and wealth.",sweaterventures.com,31,https://logo.clearbit.com/sweaterventures.com
Breed VC,Miami,"Breed VC invests in seed to early-stage companies within blockchain, cryptocurrency, and financial services sectors, focusing on the United States.",Breed VC - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/breed-vc,Seed Round - Drop,funding_round,Drop,2024-10-17,Breed VC investment in Seed Round - Drop,investment,Seed Round - Phylax Systems,funding_round,Phylax Systems,2024-11-01,Breed VC investment in Seed Round - Phylax Systems,investment,Pre Seed Round - Perena,funding_round,Perena,2024-12-11,Breed VC investment in Pre Seed Round - Perena,investment,"Breed VC operates as a venture capital firm, focused on crypto companies.",breedvc.com,86,https://logo.clearbit.com/breedvc.com
Aimtop Ventures,Cupertino,"Aimtop Ventures invests in seed to early-stage companies in AI, machine learning, and software industries, focusing on North America and Asia. Learn More.",Aimtop Ventures - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/aimtop-ventures,Series A - GruEnergya,funding_round,GruEnergya,2023-05-08,Aimtop Ventures investment in Series A - GruEnergya,investment,Seed Round - TensorOpera,funding_round,TensorOpera,2023-06-30,Aimtop Ventures investment in Seed Round - TensorOpera,investment,Seed Round - ChainOpera AI,funding_round,ChainOpera AI,2024-12-26,Aimtop Ventures investment in Seed Round - ChainOpera AI,investment,AimTop Ventures focuses on seed or early stage investments on technology application companies that can transform industries.,aimtopvc.com,45,https://logo.clearbit.com/aimtopvc.com
Banter Capital,San Francisco,"Banter Capital is an early stage venture capital fund focused on backing founders who are unusual, surprising, curious, and ambitious.",Banter Capital - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/banter-capital,Seed Round - Deterrence,funding_round,Deterrence,2024-12-12,Banter Capital investment in Seed Round - Deterrence,investment,Seed Round - Gallatin,funding_round,Gallatin,2025-04-08,Banter Capital investment in Seed Round - Gallatin,investment,Series A - Northwood Space,funding_round,Northwood Space,2025-04-22,Banter Capital investment in Series A - Northwood Space,investment,"Banter Capital is an early stage venture capital fund focused on backing founders who are unusual, surprising, curious, and ambitious. It is the distillation of a near decade apprenticeship working under the mentorship of some of the best venture capitalists of all time.",bantercap.com,81,https://logo.clearbit.com/bantercap.com
California HealthCare Foundation,Oakland,"California HealthCare Foundation works as a catalyst fulfill the promise of better health care for all Californians. Oakland, California, United States · 51 ...",California HealthCare Foundation - Crunchbase,https://www.crunchbase.com/organization/california-healthcare-foundation,Seed Round - Pear Suite,funding_round,Pear Suite,2024-06-24,California HealthCare Foundation investment in Seed Round - Pear Suite,investment,Seed Round - BeMe Health,funding_round,BeMe Health,2024-08-22,California HealthCare Foundation investment in Seed Round - BeMe Health,investment,Series D - Abridge,funding_round,Abridge,2025-02-17,California HealthCare Foundation investment in Series D - Abridge,investment,"California HealthCare Foundation works as a catalyst fulfill the promise of better health care for all Californians. They support ideas and innovations that improve quality, increase efficiency, and lower the costs of care.",chcf.org,91,https://logo.clearbit.com/chcf.org
Ingka Investments,South Holland,"Ingka Investments invests in innovative companies and connects entrepreneurs to a vast and diverse network of partners. South Holland, Illinois, United States ...",Ingka Investments - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/ingka-investments,Venture Round - GREEN14,funding_round,GREEN14,2025-02-06,Ingka Investments investment in Venture Round - GREEN14,investment,Private Equity Round - Vistria Group,funding_round,Vistria Group,2025-02-11,Ingka Investments investment in Private Equity Round - Vistria Group,investment,Series C - RECO,funding_round,RECO,2025-03-31,Ingka Investments investment in Series C - RECO,investment,"Ingka Investments invests in innovative companies and connects entrepreneurs to a vast and diverse network of partners. The firm combines handling resources respectfully while supporting the growth of innovative companies.

It was founded in 2018 and headquartered in South Holland, Illinois.",ingka.com/what-we-do/ingka-investments,74,https://logo.clearbit.com/ingka.com
Ranch Ventures,San Francisco,"A progressive, seed stage investment firm that partners with technically ambitious companies​ to help build the future. San Francisco, California, United States ...",Ranch Ventures - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/ranch-ventures,Venture Round - Barn & Willow,funding_round,Barn & Willow,2017-05-10,Ranch Ventures investment in Venture Round - Barn & Willow,investment,Series A - Qwil,funding_round,Qwil,2018-04-03,Ranch Ventures investment in Series A - Qwil,investment,Seed Round - Twelve,funding_round,Twelve,2019-08-16,Ranch Ventures investment in Seed Round - Twelve,investment,"We're a progressive micro-fund that partners with technically ambitious, high value companies​ to help build the future.",ranch.vc,2,https://logo.clearbit.com/ranch.vc
